ds,frequency
2021-03-10 05:00:00,240
2021-03-09 00:00:00,236
2021-03-10 00:30:00,234
2021-03-10 02:00:00,230
2021-03-10 00:00:00,228
2021-03-10 01:00:00,227
2021-03-08 23:50:00,225
2021-03-08 23:44:00,224
2021-03-10 01:15:00,221
2021-03-08 23:30:00,220
2021-03-10 00:02:00,217
2021-03-08 23:43:00,216
2021-03-09 00:10:00,214
2021-03-10 03:00:00,212
2021-03-08 23:51:00,212
2021-03-10 00:20:00,211
2021-03-09 00:18:00,211
2021-03-08 23:40:00,211
2021-03-08 23:54:00,211
2021-03-09 00:14:00,210
2021-03-09 21:00:00,210
2021-03-10 00:01:00,209
2021-03-08 23:53:00,209
2021-03-09 02:00:00,209
2021-03-09 00:16:00,209
2021-03-08 23:31:00,208
2021-03-09 22:00:00,208
2021-03-09 23:45:00,207
2021-03-09 01:00:00,206
2021-03-09 23:01:00,206
2021-03-09 00:01:00,206
2021-03-08 23:48:00,206
2021-03-08 23:57:00,206
2021-03-08 23:59:00,206
2021-03-08 23:45:00,206
2021-03-08 23:42:00,205
2021-03-09 23:30:00,205
2021-03-09 00:02:00,205
2021-03-09 22:30:00,205
2021-03-10 00:36:00,204
2021-03-09 00:04:00,204
2021-03-10 00:28:00,204
2021-03-09 00:30:00,204
2021-03-09 21:30:00,202
2021-03-09 22:28:00,201
2021-03-08 23:56:00,200
2021-03-10 00:27:00,200
2021-03-09 23:37:00,200
2021-03-09 23:29:00,200
2021-03-10 01:32:00,198
2021-03-08 23:46:00,198
2021-03-10 04:00:00,198
2021-03-10 01:05:00,198
2021-03-09 23:00:00,197
2021-03-09 00:20:00,197
2021-03-10 01:30:00,196
2021-03-10 00:15:00,196
2021-03-10 00:32:00,195
2021-03-08 23:26:00,195
2021-03-08 23:33:00,194
2021-03-10 02:01:00,194
2021-03-10 00:39:00,194
2021-03-08 23:25:00,191
2021-03-09 22:15:00,191
2021-03-10 04:33:00,190
2021-03-09 23:43:00,190
2021-03-10 00:45:00,189
2021-03-09 23:22:00,189
2021-03-10 01:22:00,189
2021-03-10 00:31:00,189
2021-03-09 00:03:00,189
2021-03-10 00:42:00,189
2021-03-09 01:30:00,188
2021-03-09 23:41:00,188
2021-03-08 23:20:00,188
2021-03-08 23:41:00,187
2021-03-09 00:28:00,187
2021-03-10 01:01:00,187
2021-03-10 03:30:00,187
2021-03-09 23:34:00,187
2021-03-08 23:49:00,186
2021-03-10 00:29:00,186
2021-03-10 00:33:00,186
2021-03-10 00:08:00,186
2021-03-08 23:16:00,186
2021-03-09 03:00:00,186
2021-03-09 22:45:00,186
2021-03-08 23:55:00,186
2021-03-10 00:51:00,185
2021-03-09 21:15:00,185
2021-03-08 23:22:00,185
2021-03-08 23:34:00,185
2021-03-10 03:01:00,185
2021-03-09 23:13:00,185
2021-03-09 00:06:00,185
2021-03-09 23:08:00,185
2021-03-09 23:05:00,185
2021-03-09 00:09:00,185
2021-03-08 23:58:00,184
2021-03-08 23:37:00,184
2021-03-09 00:13:00,184
2021-03-09 00:22:00,184
2021-03-10 06:00:00,184
2021-03-09 23:19:00,184
2021-03-10 01:19:00,184
2021-03-09 23:18:00,183
2021-03-09 00:12:00,183
2021-03-09 23:31:00,183
2021-03-09 22:36:00,183
2021-03-08 23:38:00,183
2021-03-09 00:58:00,182
2021-03-08 23:28:00,182
2021-03-10 00:41:00,182
2021-03-10 01:10:00,182
2021-03-09 00:11:00,182
2021-03-10 01:21:00,182
2021-03-10 02:16:00,181
2021-03-09 00:26:00,181
2021-03-09 23:20:00,181
2021-03-09 02:30:00,181
2021-03-10 01:37:00,180
2021-03-09 22:24:00,180
2021-03-10 00:38:00,180
2021-03-10 01:34:00,179
2021-03-09 23:15:00,179
2021-03-08 23:47:00,179
2021-03-09 00:19:00,179
2021-03-10 01:40:00,179
2021-03-09 23:26:00,179
2021-03-10 01:26:00,178
2021-03-10 01:02:00,178
2021-03-10 04:30:00,178
2021-03-09 00:15:00,178
2021-03-09 22:16:00,177
2021-03-10 01:28:00,177
2021-03-10 01:12:00,177
2021-03-10 02:15:00,177
2021-03-08 23:32:00,177
2021-03-10 01:18:00,177
2021-03-10 00:04:00,177
2021-03-09 23:48:00,177
2021-03-09 00:07:00,176
2021-03-09 22:10:00,176
2021-03-10 01:20:00,176
2021-03-10 00:23:00,176
2021-03-09 00:45:00,176
2021-03-08 23:39:00,176
2021-03-08 23:52:00,176
2021-03-10 00:18:00,175
2021-03-09 23:02:00,175
2021-03-10 02:30:00,175
2021-03-09 23:21:00,175
2021-03-10 01:31:00,175
2021-03-10 04:10:00,175
2021-03-10 05:30:00,175
2021-03-10 00:54:00,175
2021-03-09 22:02:00,175
2021-03-09 23:17:00,174
2021-03-09 22:17:00,174
2021-03-10 04:01:00,174
2021-03-09 23:33:00,174
2021-03-08 23:36:00,174
2021-03-10 00:03:00,174
2021-03-08 23:17:00,173
2021-03-09 22:42:00,173
2021-03-10 00:57:00,173
2021-03-09 22:01:00,173
2021-03-10 01:13:00,173
2021-03-09 23:42:00,173
2021-03-09 00:17:00,173
2021-03-09 04:00:00,173
2021-03-10 00:22:00,173
2021-03-09 23:56:00,173
2021-03-09 23:09:00,173
2021-03-09 22:12:00,172
2021-03-10 01:35:00,172
2021-03-09 00:05:00,172
2021-03-10 00:12:00,172
2021-03-09 02:02:00,172
2021-03-10 00:10:00,172
2021-03-09 21:04:00,172
2021-03-09 04:30:00,172
2021-03-08 23:29:00,172
2021-03-10 00:26:00,172
2021-03-09 23:16:00,171
2021-03-09 23:35:00,171
2021-03-10 00:24:00,171
2021-03-10 04:25:00,171
2021-03-09 23:55:00,171
2021-03-09 00:40:00,171
2021-03-09 21:52:00,170
2021-03-10 00:05:00,170
2021-03-10 01:45:00,170
2021-03-08 23:14:00,170
2021-03-10 00:17:00,170
2021-03-10 01:16:00,170
2021-03-10 02:06:00,170
2021-03-09 23:25:00,170
2021-03-09 23:36:00,170
2021-03-09 00:39:00,169
2021-03-08 23:27:00,169
2021-03-10 03:55:00,169
2021-03-09 21:55:00,169
2021-03-10 00:52:00,169
2021-03-09 01:01:00,169
2021-03-09 23:10:00,169
2021-03-09 00:35:00,169
2021-03-09 01:10:00,168
2021-03-09 21:50:00,168
2021-03-09 01:08:00,168
2021-03-10 02:10:00,168
2021-03-10 01:08:00,168
2021-03-09 21:45:00,168
2021-03-10 01:03:00,168
2021-03-09 21:42:00,167
2021-03-09 00:33:00,167
2021-03-09 23:46:00,167
2021-03-09 00:24:00,167
2021-03-08 23:24:00,167
2021-03-09 20:00:00,167
2021-03-09 00:27:00,167
2021-03-09 00:25:00,167
2021-03-10 01:24:00,167
2021-03-09 23:51:00,166
2021-03-09 22:05:00,166
2021-03-10 03:22:00,166
2021-03-10 00:25:00,166
2021-03-10 05:23:00,166
2021-03-10 04:28:00,166
2021-03-10 00:40:00,166
2021-03-10 05:01:00,166
2021-03-10 01:25:00,165
2021-03-10 01:14:00,165
2021-03-09 00:41:00,165
2021-03-09 22:32:00,165
2021-03-09 22:35:00,165
2021-03-10 01:07:00,165
2021-03-09 23:40:00,165
2021-03-09 01:27:00,165
2021-03-09 00:29:00,165
2021-03-10 01:42:00,165
2021-03-10 01:06:00,164
2021-03-09 23:59:00,164
2021-03-09 00:34:00,164
2021-03-09 00:37:00,164
2021-03-09 20:30:00,164
2021-03-09 23:23:00,164
2021-03-10 00:06:00,164
2021-03-10 00:09:00,164
2021-03-09 01:02:00,164
2021-03-09 02:18:00,164
2021-03-09 22:56:00,164
2021-03-10 03:20:00,163
2021-03-09 01:21:00,163
2021-03-09 01:39:00,163
2021-03-09 22:20:00,163
2021-03-09 00:50:00,163
2021-03-09 03:07:00,162
2021-03-09 22:25:00,162
2021-03-10 01:23:00,162
2021-03-10 04:15:00,162
2021-03-10 01:36:00,162
2021-03-10 00:21:00,162
2021-03-09 00:32:00,162
2021-03-09 22:40:00,162
2021-03-10 03:02:00,162
2021-03-09 01:45:00,161
2021-03-09 21:43:00,161
2021-03-10 05:09:00,161
2021-03-09 05:00:00,161
2021-03-10 02:31:00,161
2021-03-10 00:07:00,161
2021-03-10 03:50:00,161
2021-03-10 02:35:00,161
2021-03-08 22:50:00,161
2021-03-10 01:04:00,161
2021-03-10 02:26:00,161
2021-03-09 02:25:00,161
2021-03-09 00:42:00,161
2021-03-09 22:41:00,161
2021-03-09 23:58:00,160
2021-03-09 02:15:00,160
2021-03-10 03:39:00,160
2021-03-10 00:47:00,160
2021-03-10 00:13:00,160
2021-03-10 02:18:00,160
2021-03-09 00:31:00,160
2021-03-10 01:47:00,160
2021-03-08 23:35:00,160
2021-03-09 23:11:00,160
2021-03-09 22:59:00,160
2021-03-08 23:18:00,160
2021-03-09 23:04:00,160
2021-03-08 23:23:00,159
2021-03-08 23:13:00,159
2021-03-10 00:44:00,159
2021-03-09 21:53:00,159
2021-03-09 23:32:00,159
2021-03-09 21:36:00,159
2021-03-09 04:01:00,159
2021-03-08 22:00:00,159
2021-03-09 23:14:00,159
2021-03-10 01:58:00,159
2021-03-09 21:34:00,159
2021-03-10 00:43:00,159
2021-03-09 02:07:00,159
2021-03-09 01:32:00,159
2021-03-10 06:01:00,159
2021-03-10 09:00:00,159
2021-03-10 00:53:00,159
2021-03-09 05:30:00,159
2021-03-08 23:15:00,159
2021-03-09 20:45:00,159
2021-03-10 01:46:00,158
2021-03-08 23:12:00,158
2021-03-10 02:12:00,158
2021-03-09 22:31:00,158
2021-03-09 00:43:00,158
2021-03-08 23:02:00,158
2021-03-09 23:06:00,158
2021-03-09 00:08:00,158
2021-03-10 00:58:00,158
2021-03-09 22:57:00,158
2021-03-09 22:39:00,158
2021-03-09 02:03:00,158
2021-03-09 03:36:00,158
2021-03-09 00:54:00,158
2021-03-10 00:56:00,157
2021-03-10 00:11:00,157
2021-03-08 23:03:00,157
2021-03-09 21:05:00,157
2021-03-09 03:50:00,157
2021-03-10 01:17:00,157
2021-03-10 02:17:00,157
2021-03-10 05:14:00,157
2021-03-09 21:57:00,157
2021-03-10 02:52:00,157
2021-03-09 00:44:00,157
2021-03-09 02:54:00,157
2021-03-08 23:09:00,157
2021-03-09 22:51:00,157
2021-03-10 02:34:00,157
2021-03-10 05:04:00,157
2021-03-09 22:46:00,157
2021-03-10 01:44:00,156
2021-03-10 02:14:00,156
2021-03-10 01:43:00,156
2021-03-09 22:49:00,156
2021-03-10 01:38:00,156
2021-03-09 23:57:00,156
2021-03-09 22:47:00,156
2021-03-10 01:33:00,156
2021-03-10 01:09:00,156
2021-03-09 22:54:00,156
2021-03-10 02:33:00,156
2021-03-08 23:21:00,156
2021-03-09 01:05:00,156
2021-03-10 02:08:00,155
2021-03-10 01:53:00,155
2021-03-09 21:54:00,155
2021-03-10 02:29:00,155
2021-03-10 01:27:00,155
2021-03-09 00:55:00,155
2021-03-10 04:19:00,155
2021-03-10 04:51:00,155
2021-03-09 21:44:00,155
2021-03-10 00:59:00,155
2021-03-10 01:55:00,155
2021-03-10 02:39:00,155
2021-03-10 00:35:00,155
2021-03-09 22:18:00,155
2021-03-08 23:00:00,155
2021-03-09 22:07:00,155
2021-03-09 01:36:00,155
2021-03-10 01:11:00,155
2021-03-09 01:09:00,154
2021-03-09 01:28:00,154
2021-03-10 02:11:00,154
2021-03-09 23:39:00,154
2021-03-09 23:53:00,154
2021-03-09 02:09:00,154
2021-03-09 22:21:00,154
2021-03-09 21:39:00,154
2021-03-09 02:38:00,154
2021-03-10 01:51:00,154
2021-03-09 01:26:00,154
2021-03-10 02:56:00,154
2021-03-09 03:02:00,154
2021-03-09 01:15:00,154
2021-03-09 23:54:00,154
2021-03-10 00:55:00,154
2021-03-09 21:33:00,154
2021-03-09 00:36:00,154
2021-03-10 00:16:00,154
2021-03-09 03:48:00,153
2021-03-10 04:40:00,153
2021-03-09 21:56:00,153
2021-03-10 01:50:00,153
2021-03-10 02:45:00,153
2021-03-09 22:34:00,153
2021-03-10 03:38:00,153
2021-03-10 04:08:00,153
2021-03-08 23:07:00,153
2021-03-09 00:56:00,153
2021-03-10 01:59:00,153
2021-03-09 02:16:00,153
2021-03-10 03:15:00,153
2021-03-09 01:31:00,153
2021-03-09 01:20:00,153
