date,daily_vaccinations_per_million
2021-01-10,
2021-01-11,22
2021-01-12,22
2021-01-13,22
2021-01-14,23
2021-01-15,22
2021-01-16,22
2021-01-17,20
2021-01-18,19
2021-01-19,18
2021-01-20,16
2021-01-21,14
2021-01-22,12
2021-01-23,9
2021-01-24,7
2021-01-25,5
2021-01-26,3
2021-01-27,1
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,
2021-02-03,4
2021-02-04,8
2021-02-05,12
2021-02-06,16
2021-02-07,21
2021-02-08,25
2021-02-09,28
2021-02-10,28
2021-02-11,27
2021-02-12,27
2021-02-13,26
2021-02-14,26
2021-02-15,25
2021-02-16,25
2021-02-17,25
2021-02-18,88
2021-02-19,141
2021-02-20,179
2021-02-21,218
2021-02-22,257
2021-02-23,310
2021-02-24,362
2021-02-25,352
2021-02-26,347
2021-02-27,357
2021-02-28,366
2021-03-01,376
2021-03-02,357
2021-03-03,337
2021-03-04,322
2021-03-05,312
2021-03-06,301
2021-03-07,291
2021-03-08,281
2021-03-09,285
2021-03-10,289
2021-03-11,298
2021-03-12,307
2021-01-29,
2021-01-30,1
2021-01-31,43
2021-02-01,57
2021-02-02,64
2021-02-03,69
2021-02-04,71
2021-02-05,73
2021-02-06,85
2021-02-07,85
2021-02-08,85
2021-02-09,85
2021-02-10,85
2021-02-11,85
2021-02-12,85
2021-02-13,85
2021-02-14,85
2021-02-15,85
2021-02-16,85
2021-02-17,85
2021-02-18,85
2021-02-19,85
2021-01-25,
2021-01-26,854
2021-01-27,854
2021-01-28,854
2021-01-29,854
2021-01-30,854
2021-01-31,854
2021-02-01,854
2021-02-02,777
2021-02-03,712
2021-02-04,647
2021-02-05,569
2021-02-06,505
2021-02-07,440
2021-02-08,362
2021-02-09,362
2021-02-10,362
2021-02-11,621
2021-02-12,880
2021-02-13,958
2021-02-14,1048
2021-02-15,1126
2021-02-16,1217
2021-02-17,1294
2021-02-18,1126
2021-02-19,958
2021-02-20,919
2021-02-21,867
2021-02-22,828
2021-02-23,777
2021-02-24,738
2021-02-25,725
2021-02-26,712
2021-02-27,815
2021-02-28,932
2021-03-01,1035
2021-03-02,1152
2021-03-03,1255
2021-03-04,1333
2021-03-05,1398
2021-03-06,1398
2021-03-07,1398
2021-03-08,1398
2021-03-09,2407
2021-03-10,3417
2021-03-05,
2021-03-06,63
2021-03-07,63
2021-03-08,63
2021-02-04,
2021-02-05,9932
2021-02-06,9932
2021-02-07,9932
2021-02-08,9932
2021-02-09,9932
2021-02-10,9932
2021-02-11,9932
2021-02-12,9932
2021-02-13,9932
2021-02-14,22064
2021-02-15,21530
2021-02-16,21064
2021-02-17,20597
2021-02-18,20064
2021-02-19,19597
2021-02-20,19064
2021-02-21,6466
2021-02-22,6466
2021-02-23,6466
2021-02-24,6466
2021-02-25,6466
2021-02-26,6466
2020-12-29,
2020-12-30,346
2020-12-31,346
2021-01-01,245
2021-01-02,194
2021-01-03,164
2021-01-04,143
2021-01-05,177
2021-01-06,181
2021-01-07,185
2021-01-08,233
2021-01-09,264
2021-01-10,296
2021-01-11,327
2021-01-12,311
2021-01-13,295
2021-01-14,295
2021-01-15,295
2021-01-16,287
2021-01-17,279
2021-01-18,272
2021-01-19,264
2021-01-20,256
2021-01-21,259
2021-01-22,249
2021-01-23,246
2021-01-24,229
2021-01-25,200
2021-01-26,213
2021-01-27,222
2021-01-28,197
2021-01-29,204
2021-01-30,248
2021-01-31,250
2021-02-01,264
2021-02-02,254
2021-02-03,248
2021-02-04,367
2021-02-05,359
2021-02-06,332
