date,value
2021-03-17,68
2021-03-17,35
2021-03-17,42
2021-03-17,38
2021-03-17,63
2021-03-17,72
2021-03-16,246
2021-03-16,50
2021-03-16,54
2021-03-16,74
2021-03-16,50
2021-03-16,79
2021-03-16,85
2021-03-16,179
2021-03-16,460
2021-03-16,49
2021-03-16,45
2021-03-16,33
2021-03-16,31
2021-03-16,18
2021-03-16,21
2021-03-16,19
2021-03-16,13
2021-03-16,14
2021-03-16,12
2021-03-15,12
2021-03-15,13
2021-03-15,10
2021-03-15,10
2021-03-15,15
2021-03-15,19
2021-03-15,26
2021-03-15,20
2021-03-15,26
2021-03-15,22
2021-03-15,25
2021-03-15,35
2021-03-15,27
2021-03-15,15
2021-03-15,26
2021-03-15,18
2021-03-15,31
2021-03-15,333
2021-03-15,32
2021-03-15,51
2021-03-15,44
2021-03-15,179
2021-03-15,59
2021-03-15,88
2021-03-15,77
2021-03-15,62
2021-03-15,93
2021-03-14,123
2021-03-14,64
2021-03-14,101
2021-03-14,59
2021-03-14,56
2021-03-14,83
2021-03-14,66
2021-03-14,48
2021-03-14,47
2021-03-14,101
2021-03-14,110
2021-03-13,102
2021-03-13,151
2021-03-13,50
2021-03-13,54
2021-03-13,92
2021-03-13,282
2021-03-12,32
2021-03-12,168
2021-03-12,78
2021-03-12,44
2021-03-12,29
2021-03-12,19
2021-03-12,16
2021-03-12,28
2021-03-12,25
2021-03-12,16
2021-03-12,21
2021-03-12,33
2021-03-12,33
2021-03-12,15
2021-03-12,14
2021-03-12,17
2021-03-12,19
2021-03-12,14
2021-03-12,22
2021-03-12,30
2021-03-12,15
2021-03-12,35
2021-03-12,38
2021-03-12,30
2021-03-12,354
2021-03-12,191
2021-03-12,166
2021-03-12,107
2021-03-12,50
2021-03-12,46
2021-03-12,72
2021-03-12,44
2021-03-11,46
2021-03-11,56
2021-03-11,49
2021-03-11,47
2021-03-11,47
2021-03-11,44
2021-03-11,54
2021-03-11,656
2021-03-11,106
2021-03-11,193
2021-03-11,147
2021-03-11,503
2021-03-11,384
2021-03-11,742
2021-03-10,131
2021-03-10,90
2021-03-10,267
2021-03-10,48
2021-03-10,125
2021-03-10,69
2021-03-10,67
2021-03-10,118
2021-03-10,417
2021-03-10,56
2021-03-10,32
2021-03-10,44
2021-03-10,37
2021-03-10,73
2021-03-10,56
2021-03-10,57
2021-03-10,54
2021-03-10,45
2021-03-10,57
2021-03-10,79
2021-03-10,82
2021-03-10,62
2021-03-09,74
2021-03-09,111
2021-03-09,87
2021-03-09,25
2021-03-09,36
2021-03-09,17
2021-03-09,17
2021-03-09,7
2021-03-09,15
2021-03-09,17
2021-03-09,12
2021-03-09,8
2021-03-09,11
2021-03-09,19
2021-03-09,19
2021-03-09,25
2021-03-09,43
2021-03-09,597
2021-03-09,280
2021-03-09,56
2021-03-09,54
2021-03-09,38
2021-03-09,36
2021-03-09,51
2021-03-09,59
2021-03-09,46
2021-03-09,39
2021-03-09,35
2021-03-09,300
2021-03-09,55
2021-03-09,135
2021-03-09,144
2021-03-09,89
2021-03-09,45
2021-03-09,87
2021-03-09,102
2021-03-09,149
2021-03-09,87
2021-03-09,173
2021-03-09,1
2021-03-08,36
2021-03-08,30
2021-03-08,25
2021-03-08,16
2021-03-08,29
2021-03-08,61
2021-03-08,41
2021-03-08,32
2021-03-08,23
2021-03-08,49
2021-03-08,28
2021-03-08,23
2021-03-08,26
2021-03-08,29
2021-03-08,21
2021-03-08,13
2021-03-08,12
2021-03-08,18
2021-03-08,10
2021-03-08,11
2021-03-08,15
2021-03-08,23
2021-03-08,302
2021-03-08,157
2021-03-08,360
2021-03-08,92
2021-03-08,66
2021-03-08,95
2021-03-08,76
2021-03-08,109
2021-03-08,83
2021-03-08,134
2021-03-08,111
2021-03-08,92
2021-03-08,49
2021-03-08,96
2021-03-08,90
2021-03-08,70
2021-03-08,129
2021-03-08,259
2021-03-08,213
2021-03-08,2069
2021-03-07,96
2021-03-07,143
2021-03-07,82
2021-03-06,28
2021-03-06,56
2021-03-06,71
2021-03-06,76
2021-03-06,210
2021-03-06,104
2021-03-06,21
2021-03-05,21
2021-03-05,21
2021-03-05,43
2021-03-05,39
2021-03-05,21
2021-03-05,12
2021-03-05,10
2021-03-05,16
2021-03-05,26
2021-03-05,24
2021-03-05,18
2021-03-05,17
2021-03-05,16
2021-03-05,16
2021-03-05,21
2021-03-05,15
2021-03-05,17
2021-03-05,51
2021-03-05,51
2021-03-05,29
2021-03-05,364
2021-03-05,114
2021-03-05,29
2021-03-05,43
2021-03-05,44
2021-03-05,181
2021-03-05,24
2021-03-05,84
2021-03-05,44
2021-03-05,67
2021-03-05,109
2021-03-05,77
2021-03-05,83
2021-03-05,44
2021-03-05,248
2021-03-05,73
2021-03-04,88
2021-03-04,101
2021-03-04,98
2021-03-04,86
2021-03-04,128
2021-03-04,195
2021-03-04,104
2021-03-04,98
2021-03-04,105
2021-03-04,805
2021-03-04,114
2021-03-04,198
2021-03-04,92
2021-03-04,125
2021-03-04,51
2021-03-04,76
2021-03-04,183
2021-03-04,29
2021-03-04,36
2021-03-04,24
2021-03-04,43
2021-03-04,72
2021-03-04,57
2021-03-04,51
2021-03-04,51
2021-03-04,41
2021-03-04,66
2021-03-03,172
2021-03-03,66
2021-03-03,132
2021-03-03,66
2021-03-03,484
2021-03-03,114
2021-03-03,99
2021-03-03,140
2021-03-03,553
2021-03-03,205
2021-03-03,129
2021-03-03,56
2021-03-03,33
2021-03-03,62
2021-03-03,86
2021-03-03,56
2021-03-03,243
2021-03-03,78
2021-03-03,444
2021-03-03,38
2021-03-03,74
2021-03-02,59
2021-03-02,236
2021-03-02,197
2021-03-02,248
2021-03-02,102
2021-03-02,121
2021-03-02,44
2021-03-02,101
2021-03-02,52
2021-03-02,47
2021-03-02,47
2021-03-02,29
2021-03-02,32
2021-03-02,24
2021-03-02,48
2021-03-02,69
2021-03-02,24
2021-03-02,17
2021-03-02,17
2021-03-02,18
2021-03-02,13
2021-03-02,9
2021-03-02,66
2021-03-02,47
2021-03-02,152
2021-03-02,55
2021-03-02,76
2021-03-02,391
2021-03-02,33
2021-03-01,39
2021-03-01,46
2021-03-01,74
2021-03-01,21
2021-03-01,13
2021-03-01,14
2021-03-01,21
2021-03-01,26
2021-03-01,39
2021-03-01,19
2021-03-01,25
2021-03-01,24
2021-03-01,13
2021-03-01,24
2021-03-01,16
2021-03-01,27
2021-03-01,26
2021-03-01,19
2021-03-01,28
2021-03-01,417
2021-03-01,107
2021-03-01,113
2021-03-01,121
2021-03-01,130
2021-03-01,916
2021-03-01,61
2021-03-01,134
2021-03-01,89
2021-03-01,312
2021-02-28,195
2021-02-28,178
2021-02-28,191
2021-02-28,332
2021-02-28,1236
2021-02-27,991
2021-02-27,196
2021-02-27,50
2021-02-27,93
2021-02-27,66
2021-02-27,238
2021-02-27,1015
2021-02-27,2616
2021-02-27,86
2021-02-27,121
2021-02-27,64
2021-02-27,31
2021-02-27,26
2021-02-27,69
2021-02-27,46
